No.,Group,TAG NO.,PHD Tag,MEASURING POINT,"CONTROL LOGIC CHECK
 Number","CROSS REF.  (DEVIATION CHECK)
 Number",NaN Check,Overange Check,Instrument Range Validation,Frozen check (5 min configurable),Rate of Change check,Travelling Check,"CROSS REF. (DEVIATION CHECK)
 Tagname","CONTROL LOGIC CHECK
 Tagname",Remark (Điều kiện bình thường),Not now,Not1now1
83,G8,VE_2187A,HT_VI_2187A.PV,GEAR SHAFT 2 JOURN. BRG. DE,,,Y,"0, 200","_,_,0,27,35,38",Y,Vibration,,,,,,
84,G8,VE_2187B,HT_VI_2187B.PV,GEAR SHAFT 2 JOURN. BRG. DE,,,Y,"0, 200","_,_,0,27,35,38",Y,Vibration,,,,,,
85,G8,VE_2188A,HT_VI_2188A.PV,RD COMP. JOURN. BRG. NDE,,,Y,"0, 200","_,_,0,15,26,52",Y,Vibration,,,,,,
86,G8,VE_2188B,HT_VI_2188B.PV,RD COMP. JOURN. BRG. NDE,,,Y,"0, 200","_,_,0,15,26,52",Y,Vibration,,,,,,
87,Other,VSHH_2182,HT_VSHH_2182.PV,OIL COOLER,,,Y,Y,,Y,,,,,,,x
96,G8,XE_2180A,HT_XE_2180A.PV,GEAR SHAFT 1 KEYPHASOR,,,Y,,,Y,,,,,,,
97,G8,XE_2180B,HT_XE_2180B.PV,GEAR SHAFT 2 KEYPHASOR,,,Y,,,Y,,,,,,,
100,G8,ZT_2180A,HT_ZI_2180A.PV,GEAR SHAFT 1 AXIAL DISPLACEMENT,,18,Y,"-1, 1","-0.8,-0.5,-0.3,0.09,0.11,0.13",Y,Vibration,,ZE-2180A/B,,,,
101,G8,ZT_2180B,HT_ZI_2180B.PV,GEAR SHAFT 1 AXIAL DISPLACEMENT,,18,Y,"-1, 1","-0.8,-0.5,-0.3,0.09,0.11,0.13",Y,Vibration,,ZE-2180A/B,,,,
102,G8,ZT_2181A,HT_ZI_2181A.PV,RD COMP. SHAFT AXIAL DISPLACEMENT,,19,Y,"-1, 1","-0.4,-0.3,-0.22,0.22,0.3,0.4",Y,Vibration,,ZE-2181A/B,,,,
103,G8,ZT_2181B,HT_ZI_2181B.PV,RD COMP. SHAFT AXIAL DISPLACEMENT,,19,Y,"-1, 1","-0.4,-0.3,-0.22,0.22,0.3,0.4",Y,Vibration,,ZE-2181A/B,,,,
106,G4,LZT_2172,HT_LZI_2172.PV,SUCTION SCRUBBER,,20,Y,"0, 100",,Y,Pressure,,LT-2170/LZT-2171/LZT-2172,,,,y
107,Unknown,TIC_2163,HT_TIC_2163.PIDA.PV,SUCTION SCRUBBER,,21,,"0, 100",,Y,Temperature,,TT-2163/TZT-2170,,,,
108,G2,TZT_2170,HT_TI_2170.PV,SUCTION SCRUBBER,,21,Y,Y,,Y,Temperature,,TT-2163/TZT-2170,,,,y
109,G2,TZT_2184,HT_TI_2184.PV,RD COMP DISCHARGE,,15,Y,Y,,Y,Temperature,,TT-2182/TZT-2184,,,,y
110,G1,PZT_2180,HT_PZI_2180.PV,RD COMP SUCTION,,10,Y,Y,,Y,Pressure,,PT/PZT-2180,,,,y
111,G1,PZT_2182,HT_PI_2182.PV,RD COMP DISCHARGE,,22,Y,"0, 50",,Y,Pressure,,PT/PZT-2182,,,,
112,G1,PZT_2160,HT_PZI_2160.PV,HT-E-2160 COOLING MEDIUM RETURN,,21,Y,Y,,Y,Pressure,,PT-2161/PZT-2160,,,,y
114,Other,FCV_3013,HT_FCV_3013.PV,Flow Control Valve 2nd Stage Separator HT-V-3010,,,Y,"0, 100",,Y,Pressure,,,,,,x
121,Other,PDT_2170,HT_PDI_2170.DACA.PV,Pressure Differential Transmitter MP Flash Gas Compressor Suction Scrubber HT-V-2170,,,Y,Y,,Y,Pressure,,,,,,y
122,G1,PT_2161,HT_PI_2161.DACA.PV,Pressure Transmitter Mp Flash Gas Compressor Inlet Cooler HT-E-2160,,21,Y,Y,,Y,Pressure,,PT-2161/PZT-2160,,,,y
123,G1,PT_2171,HT_PI_2171.DACA.PV,Pressure Transmitter MP Flash Gas Compressor Suction Scrubber HT-V-2170,,,Y,Y,,Y,Pressure,,,,,,y
124,Unknown,PZT_3010,HT_PZI_3010.PV,2ND Stage Seperator,,23,,,,Y,Pressure,,PT-3011/PZT-3010,,,,y
128,Other,SDV_2161_GSC,HT_SDV_2161_GSC.PV,SHUTDOWN VALVE,,,Y,Y,,Y,,2,,X,,,x
129,Other,SDV_2161_GSO,HT_SDV_2161_GSO.PV,SHUTDOWN VALVE,,,Y,Y,,Y,,2,,X,,,x
136,Other,SDV_2183_GSC,HT_SDV_2183_GSC.PV,SHUTDOWN VALVE,,,Y,Y,,Y,,6,,X,,,x
137,Other,SDV_2183_GSO,HT_SDV_2183_GSO.PV,SHUTDOWN VALVE,,,Y,Y,,Y,,6,,X,,,x
139,G7,TT_2160,HT_TI_2160.DACA.PV,Temperature Transmitter Mp Flash Gas Compressor Inlet Cooler,,,Y,Y,,Y,Temperature,,,,,,y
