No.,Group,TAG NO.,PHD Tag,MEASURING POINT,Unit,"CONTROL LOGIC CHECK
 Number","CROSS REF.  (DEVIATION CHECK)
 Number",NaN Check,Overange Check,Instrument Range Validation,Frozen check (5 min configurable),Overrange check,Rate of Change check,Travelling Check,"CROSS REF.  (DEVIATION CHECK)
 Number","CROSS REF. (DEVIATION CHECK)
 Tagname","CONTROL LOGIC CHECK
Number","CONTROL LOGIC CHECK
 Tagname",Remark (Điều kiện bình thường),Not now,Not now,MP Startup,Critical,Disabled
67,Compressor,TE 2152,HT_TI_2152.PV,Comppressor 2 Female Rotor Journal Bearing DS Vibration,0C,,,Y,,"_,_,0,65,76,90",Y,0 - 150 °C,,,,,,,,,,X,X,
68,Compressor,VT 2153B,HT_VI_2153B.PV,Comppressor 2 Male Rotor Journal Bearing SS Vibration,µm,,,Y,,"_,_,0,15,25,44",Y,0-150μm,,,,,,,,,,X,X,
69,Compressor,VT 2153A,HT_VI_2153A.PV,Comppressor 2 Male Rotor Journal Bearing SS Vibration,µm,,,Y,,"_,_,0,15,25,44",Y,0-150μm,,,,,,,,,,X,X,
70,Compressor,TE 2158,HT_TI_2158.PV,Comppressor 2 Male Rotor Journal Bearing SS Temperature ,0C,,,Y,,"_,_,0,65,76,90",Y,0 - 150 °C,,,,,,,,,,X,X,
71,Compressor,VT 2151A,HT_VI_2151A.PV,Comppressor 2 Female Rotor Journal Bearing SS Vibration,µm,,,Y,,"_,_,0,15,25,44",Y,0-150μm,,,,,,,,,,X,X,
72,Compressor,VT 2151B,HT_VI_2151B.PV,Comppressor 2 Female Rotor Journal Bearing SS Vibration,µm,,,Y,,"_,_,0,15,25,44",Y,0-150μm,,,,,,,,,,X,X,
73,Compressor,TE 2154,HT_TI_2154.PV,Comppressor 2 Female Rotor Journal Bearing DS Vibration,0C,,,Y,,"_,_,0,70,81,90",Y,0 - 150 °C,,,,,,,,,,X,X,
74,Lube/Seal oil,PDI 2110,HT_PDI_2110.PV,Lube Oil Filter DP,bard,,,Y,,"_,_,0,0.6,0.8,1",Y,0 - 2 barg,,,,,,,,,,,,
75,Lube/Seal oil,TT 2116,HT_TI_2116.PV,Lube Oil Filter Downstream Temperature,0C,,,Y,,"30,35,38,49,52,55",Y,0 - 100 °C ,,,,,,,,,,,,
76,Lube/Seal oil,PT 2113,HT_PI_2113.PV,Lube Simulation Line Pressure,barg,,,Y,,"9.7,10,10.5,13,_,_",Y,0 -20 barg,,,,,1,"Pump start status (signal from Dynamo/PHD) but PIT-2113, PIT-2118, PZT-2119 not increase",,,,,,
77,Lube/Seal oil,PDZT 2117,HT_PDI_2117.PV,Compressor 1 Seal Oil Pressure Differentíal,barg,,,Y,,"2,2.2,2.4,3,3.5,4",Y,0 -10 barg,,,1,PDZT 2117/PZT-2115,,,,,,,X,X
78,Lube/Seal oil,PDT 2115,HT_PDI_2115.PV,Compressor 1 Seal Oil  Control Pressure Differentíal,barg,,,Y,,"2,2.2,2.5,3,3.5,4",Y,0 -10 barg,,,1,PDZT 2117/PZT-2115,,,,,,,,
79,Lube/Seal oil,PDZT 2116,HT_PDI_2116.PV,Compressor 2 Seal Oil Pressure Differential,barg,,,Y,,"2,2.2,2.4,3,_,_",Y,0 -10 barg,,,2,PDZT 2116/PDT 2114,,,,,,,X,X
80,Lube/Seal oil,PDT 2114,HT_PDI_2114.PV,Compressor 2 Seal Oil  Control Pressure Differential,barg,,,Y,,"2,2.2,2.5,3,7,9.5",Y,0 -10 barg,,,2,PDZT 2116/PDT 2114,,,,,,,,
81,Lube/Seal oil,PDC 2114,HT_PDI_2114.PV,Comp 2 seal oil control,%,,,,,,Y,"0, 100",,,,,,,,,,,,
82,Lube/Seal oil,PDC 2115,HT_PDI_2115.PV,Comp 1 seal oil control,%,,,,,,Y,"0, 100",,,,,,,,,,,,
83,Lube/Seal oil,PT 2118,HT_PI_2118.PV,Lube Oil Header Pressure,barg,,,Y,,"1,1.2,1.6,3,3.5,4",Y,0 - 6 barg,,,5,PT-2118/PZT-2119,1,,,,,,,
84,Lube/Seal oil,PZT 2119,HT_PI_2119.PV,Lube Oil Header Pressure,barg,,,Y,,"1,1.2,1.6,3.3,_,_",Y,0 - 6 barg,,,5,PT-2118/PZT-2119,1,,,,,,,
85,Lube/Seal oil,LI 2110,HT_LI_2110.PV,Lube Oil Tank Level,%,,,Y,,"40,45,48,75,86,96",Y,"0, 100",,,,,,,,,,,,
86,Lube/Seal oil,LT 2121,HT_LI_2121.PV,Seal oil level Comp 1,%,,,Y,,,Y,"0, 100",,,3,LT 2121/LZT-2122,,,,,,,,
87,Lube/Seal oil,LZT 2122,HT_LI_2122.PV,Seal oil level Comp 1,%,,,Y,,,Y,"0, 100",,,3,LT 2121/LZT-2122,2,LCV-2122 open but LI-2121 & LI-2122 not descrease ,,,,,X,
88,Lube/Seal oil,LT 2151,HT_LI_2151.PV,Seal oil level Comp 2,%,,,,,,Y,"0, 100",,,4,LT-2151/LZT-2152,3,LCV-2151 open but LI-2151 & LI-2152 not descrease ,,,,,,
89,Lube/Seal oil,LZT 2152,HT_LZI_2152.PV,Seal oil level Comp 2,%,,,Y,,,Y,"0, 100",,,4,LT-2151/LZT-2152,3,LCV-2151 open but LI-2151 & LI-2152 not descrease ,,,,,X,
91,Other,HT_SDV_2120,HT_SDV_2120.PV,Suction Shutdown Valve,Status,,,,,,,,,1,,,,,,,,,,
94,Other,HT_SDV_2122,HT_SDV_2122.PV,Recycle Shutdown Valve,Status,,,,,,,,,2,,,,,,,,,,
96,Other,HT_BDV_2151,HT_BDV_2151.PV,Blow down valve,Status,,,Y,,,Y,,,4,,,4,BDV-2151 open but PI-2153 does not come to zero,,,,,,
98,Other,HT_SDV_2150,HT_SDV_2150.PV,Discharge Shutdown Valve,Status,,,Y,,,Y,,,3,,,,,,,,,,
100,Other,SDV_2152_GSO,HT_SDV_2152_GSO.PV,COMP.2  SEAL OIL SEPARATOR SHUTOFF VALVE,Status,,,,,,,,,5,,,,,,,,,,
101,Other,SDV_2152_GSC,HT_SDV_2152_GSC.PV,COMP.2  SEAL OIL SEPARATOR SHUTOFF VALVE,Status,,,,,,,,,5,,,,,,,,,,
102,Other,SDV_2123_GSO,HT_SDV_2123_GSO.PV,COMP.1  SEAL OIL SEPARATOR SHUTOFF VALVE,Status,,,,,,,,,6,,,,,,,,,,
103,Other,SDV_2123_GSC,HT_SDV_2123_GSC.PV,COMP.1  SEAL OIL SEPARATOR SHUTOFF VALVE,Status,,,,,,,,,6,,,,,,,,,,
104,Other,HT_SDV_2140,HT_SDV_2140.DEVCTLA.PV,SHUTDOWN VALVE,Status,,,,,,,,,7,,,,,,,,,,
106,Other,SDV_2121_GSO,HT_SDV_2121_GSO.PV,SHUTDOWN VALVE,Status,,,,,,,,,8,,,,,,,,,,
107,Other,SDV_2121_GSC,HT_SDV_2121_GSC.PV,SHUTDOWN VALVE,Status,,,,,,,,,8,,,,,,,,,,
