No.,Group,TAG NO.,PHD Tag,MEASURING POINT,"CROSS REF.  (DEVIATION CHECK)
 Number","CROSS REF. (DEVIATION CHECK)
 Tagname","CONTROL LOGIC CHECK
 Number","CONTROL LOGIC CHECK
 Tagname",NaN Check,Overange Check,Instrument Range Validation,Frozen check,Rate of Change check,Travelling Check,Remark
66,G2,TE_2188A,,GEAR SHAFT 2 JOURN. BRG. NDE,,,,,Y,Y,Y,Y,,,
67,G2,TE_2188B,,GEAR SHAFT 2 JOURN. BRG. NDE,,,,,Y,Y,Y,Y,,,
68,G2,TE_2189A,,RD COMP. JOURN. BRG. DE,,,,,Y,Y,Y,Y,,,
69,G2,TE_2189B,,RD COMP. JOURN. BRG. DE,,,,,Y,Y,Y,Y,,,
70,G7,TIT_2181,,OIL RESERVOIR,,,,,Y,Y,Y,Y,,,
71,G7,TIT_2185,,OIL FILTER DOWNSTREAM,,,,,Y,Y,Y,Y,,,
72,G7,TSHH_2192,,OIL RESERVOIR HEATER,,,,,Y,Y,,Y,,,
73,G7,TT_2180,,RD COMP. SUCTION,,,,,Y,Y,Y,Y,,,
74,G7,TT_2182,,RD COMP. DISCHARGE,15,TT-2182/TZT-2184,,,Y,Y,Y,Y,,,
75,G2,TT_2190,,RD COMP. SEAL LEAKAGE DE,,,,,Y,Y,Y,Y,,,
76,G2,TT_2191,,RD COMP. SEAL LEAKAGE NDE,,,,,Y,Y,Y,Y,,,
77,G7,TE_2181,,OIL RESERVOIR,,,,,Y,Y,Y,Y,,,
78,G7,TE_2185,,OIL FILTER DOWNSTREAM,,,,,Y,Y,Y,Y,,,
79,G8,VE_2183A,,GEAR SHAFT 1 JOURN. BRG. DE,,,,,Y,Y,,Y,,,
80,G8,VE_2183B,,GEAR SHAFT 1 JOURN. BRG. DE,,,,,Y,Y,,Y,,,
81,G8,VE_2184A,,RD COMP. JOURN. BRG. DE,,,,,Y,Y,,Y,,,
82,G8,VE_2184B,,RD COMP. JOURN. BRG. DE,,,,,Y,Y,,Y,,,
83,G8,VE_2187A,,GEAR SHAFT 2 JOURN. BRG. DE,,,,,Y,Y,,Y,,,
84,G8,VE_2187B,,GEAR SHAFT 2 JOURN. BRG. DE,,,,,Y,Y,,Y,,,
85,G8,VE_2188A,,RD COMP. JOURN. BRG. NDE,,,,,Y,Y,,Y,,,
86,G8,VE_2188B,,RD COMP. JOURN. BRG. NDE,,,,,Y,Y,,Y,,,
87,Other,VSHH_2182,,OIL COOLER,,,,,Y,Y,,Y,,,
88,G8,VT_2183A,,GEAR SHAFT 1 JOURN. BRG. DE,,,,,Y,Y,Y,Y,,,
89,G8,VT_2183B,,GEAR SHAFT 1 JOURN. BRG. DE,,,,,Y,Y,Y,Y,,,
90,G8,VT_2184A,,RD COMP. JOURN. BRG. DE,,,,,Y,Y,Y,Y,,,
91,G8,VT_2184B,,RD COMP. JOURN. BRG. DE,,,,,Y,Y,Y,Y,,,
92,G8,VT_2187A,,GEAR SHAFT 2 JOURN. BRG. DE,,,,,Y,Y,Y,Y,,,
93,G8,VT_2187B,,GEAR SHAFT 2 JOURN. BRG. DE,,,,,Y,Y,Y,Y,,,
94,G8,VT_2188A,,RD COMP. JOURN. BRG. NDE,,,,,Y,Y,Y,Y,,,
95,G8,VT_2188B,,RD COMP. JOURN. BRG. NDE,,,,,Y,Y,Y,Y,,,
96,G8,XE_2180A,,GEAR SHAFT 1 KEYPHASOR,,,,,Y,Y,Y,Y,,,
97,G8,XE_2180B,,GEAR SHAFT 2 KEYPHASOR,,,,,Y,Y,Y,Y,,,
98,G8,XT_2180A,,GEAR SHAFT 1 KEYPHASOR,,,,,Y,Y,Y,Y,,,
99,G8,XT_2180B,,GEAR SHAFT 2 KEYPHASOR,,,,,Y,Y,Y,Y,,,
100,G8,ZT_2180A,,GEAR SHAFT 1 AXIAL DISPLACEMENT,18,ZE-2180A/B,,,Y,Y,Y,Y,,,
101,G8,ZT_2180B,,GEAR SHAFT 1 AXIAL DISPLACEMENT,18,ZE-2180A/B,,,Y,Y,Y,Y,,,
102,G8,ZT_2181A,,RD COMP. SHAFT AXIAL DISPLACEMENT,19,ZE-2181A/B,,,Y,Y,Y,Y,,,
103,G8,ZT_2181B,,RD COMP. SHAFT AXIAL DISPLACEMENT,19,ZE-2181A/B,,,Y,Y,Y,Y,,,
104,G4,LZT_2170,,SUCTION SCRUBBER,20,LT-2170/LZT-2171/LZT-2172,11,,Y,Y,,Y,,,"SDV-2170 Close, LCV-2170 Open but LZT-2171 Decrease -> valve passing"
105,G4,LZT_2171,,SUCTION SCRUBBER,20,LT-2170/LZT-2171/LZT-2172,7,,Y,Y,,Y,,,Check LCV-2170 Open but LZT-2170 not decrease
106,G4,LZT_2172,,SUCTION SCRUBBER,20,LT-2170/LZT-2171/LZT-2172,,,Y,Y,,Y,,,
107,,TIC_2163,,SUCTION SCRUBBER,21,TT-2163/TZT-2170,,,,,,Y,,,
108,G2,TZT_2170,,SUCTION SCRUBBER,21,TT-2163/TZT-2170,N/A,,Y,Y,,Y,,,
109,G2,TZT_2184,,RD COMP DISCHARGE,15,TT-2182/TZT-2184,,,Y,Y,,Y,,,
110,G1,PZT_2180,,RD COMP SUCTION,10,PT/PZT-2180,,,Y,Y,,Y,,,
111,G1,PZT_2182,,RD COMP DISCHARGE,22,PT/PZT-2182,,,Y,Y,,Y,,,
112,G1,PZT_2160,,HT-E-2160 COOLING MEDIUM RETURN,21,PT-2161/PZT-2160,,,Y,Y,,Y,,,
113,Other,BDV_2182,,BLOW DOWN VALVE,,,6,PT-2182,Y,Y,,Y,,,BDV-2182 open but PT-2182 not zero
114,Other,FCV_3013,,Flow Control Valve 2nd Stage Separator HT-V-3010,,,,,Y,Y,,Y,,,
115,Other,FY_2180,,Positioner Flow Control Valve,,,1,FT-2180,Y,Y,,Y,,,FCV-2180 Open cause FT-2180 Decrease
116,Other,LY_2170,,Level Control Valve MP Flash Gas Compressor Suction Scrubber HT-V-2170,,,"7,11",LZT-2171/LY-2170,Y,Y,,Y,,,"Check LCV-2170 Open but LZT-2170 not decrease, LZT-2170 decrease but LCV-2170 close"
117,G4,LT_2170,,Level Transmitter MP Flash Gas Compressor Suction Scrubber HT-V-2170,20,LT-2170/LZT-2171/LZT-2172,7,LCV-2170,Y,Y,,Y,,,"Check LCV-2170 Open but LZT-2170 not decrease, LZT-2170 decrease but LCV-2170 close"
118,Other,PCV_2191C,,Pressure Control Valve MP Flash Gas Compressor Skid,,,2,PCV-2191C/FIT-2190/FIT-2191,Y,Y,Y,Y,,,PCV-2191C Open but PIT-2191C not decrease
119,Other,PCV_3011,,Pressure Control Valve 2nd Stage Separator HT-V-3010,,,"8,9","FT-3011/PCV-3011
 PT-3011/PCV-3011",Y,Y,,Y,,,PCV-3011 Open but FT-3011 not increase
120,,FT_3011,,,,,8,FT-3011/PCV-3011,,,,Y,,,PCV-3011 Open but FT-3011 not increase
121,Other,PDT_2170,,Pressure Differential Transmitter MP Flash Gas Compressor Suction Scrubber HT-V-2170,,,,,Y,Y,,Y,,,
122,G1,PT_2161,,Pressure Transmitter Mp Flash Gas Compressor Inlet Cooler HT-E-2160,21,PT-2161/PZT-2160,,,Y,Y,,Y,,,
123,G1,PT_2171,,Pressure Transmitter MP Flash Gas Compressor Suction Scrubber HT-V-2170,,,,,Y,Y,,Y,,,
124,,PZT_3010,,2ND Stage Seperator,23,PT-3011/PZT-3010,,,,,,Y,,,
125,G1,PT_3011,,Pressure Transmitter 2nd Stage Separator HT-V-3010,23,PT-3011/PZT-3010,9,PT-3011/PCV-3011,Y,Y,,Y,,,PCV-3011 Open but PT-3011 not decrease
126,Other,SDV_2160,,SHUTDOWN VALVE,,,3,PDT-2163/SDV-2160/SDV-2162,Y,Y,,Y,,Y,"HT-SDV-2162 change state close to open but PDT-2163 not decrease
 HT-SDV-2160 Open, PDT-2163 must be around zero"
127,Other,SDV_2161,,SHUTDOWN VALVE,,,,X,Y,Y,,Y,,Y,
128,Other,SDV_2162,,SHUTDOWN VALVE,,,3,PDT-2163/SDV-2160/SDV-2162,Y,Y,,Y,,Y,"HT-SDV-2162 change state close to open but PDT-2163 not decrease
 HT-SDV-2160 Open, PDT-2163 must be around zero"
129,Other,SDV_2170,,SHUTDOWN VALVE,,,11,LZT-2171/SDV-2170/LZT-2170,Y,Y,,Y,,Y,"SDV-2170 Close, LCV-2170 Open but LZT-2171 Decrease -> valve passing"
130,Other,SDV_2181,,SHUTDOWN VALVE,,,4,PDT-2181/SDV-2181,Y,Y,,Y,,Y,When HT-SDV-2181 change state close to open but PDT-2181 not decrease
131,Other,SDV_2183,,SHUTDOWN VALVE,,,,X,Y,Y,,Y,,Y,
132,Other,TCV_2163,,Temperature Control Valve,,,10,TT-2163/TCV-2163,Y,Y,,Y,,,TCV-2163 Open but TT-2163 not decrease
133,G7,TT_2160,,Temperature Transmitter Mp Flash Gas Compressor Inlet Cooler,,,,,Y,Y,,Y,,,
